d13c,d15n,whaleid,numid,replicate,lpos
-17.42,10.27,bp03,133,,0
-17.52,10.53,bp03,134,1,1
-17.5,10.47,bp03,134,1,1
-17.82,10.57,bp03,135,,2
-17.92,10.69,bp03,136,,3
-18.07,10.79,bp03,137,,4
-18.03,10.67,bp03,138,,5
-18.37,10.79,bp03,139,,6
-18.28,10.75,bp03,140,,7
-18.01,10.49,bp03,141,,8
-17.74,10.79,bp03,142,,9
-17.47,10.08,bp03,143,,10
-17.06,10.02,bp03,144,,11
-17.04,9.43,bp03,145,,12
-16.89,9.29,bp03,146,,13
-16.81,9.17,bp03,147,,14
-16.69,9.13,bp03,148,,15
-16.29,9.04,bp03,149,,16
-16.14,8.96,bp03,150,,17
-16.04,9.09,bp03,151,,18
-16.34,9.69,bp03,152,,19
-16.81,10.16,bp03,153,,20
-16.8,10.71,bp03,154,,21
-16.78,10.94,bp03,155,,22
-16.59,10.76,bp03,156,2,23
-16.61,10.73,bp03,156,2,23
-17.01,16.03,bp01,33,,-1
-17.61,16.14,bp01,1,,0
-17.6,16.12,bp01,2,3,1
-17.62,16.35,bp01,2,3,1
-17.31,16.14,bp01,3,,2
-17.1,15.92,bp01,4,,3
-17,15.5,bp01,5,,4
-17.24,15.32,bp01,6,,4
-17.02,15.41,bp01,7,,5
-17.17,14.54,bp01,8,,6
-17.07,14.24,bp01,9,,7
-17.12,13.74,bp01,10,,8
-17.21,13.45,bp01,11,,9
-17.28,13.13,bp01,12,,10
-17.92,12.04,bp01,13,,11
-17.79,12.27,bp01,15,,13
-17.65,12.4,bp01,16,,14
-17.32,13.84,bp01,17,,15
-17.07,14.21,bp01,18,,16
-17.04,14.69,bp01,19,,17
-16.74,15.06,bp01,20,,18
-16.69,15.32,bp01,21,,19
-16.61,15.64,bp01,22,,20
-16.71,16.04,bp01,23,,21
-16.72,15.98,bp01,24,,22
-16.86,16.35,bp01,25,,23
-16.62,16.13,bp01,26,,24
-16.7,15.53,bp01,27,,25
-17.14,15.22,bp01,28,,26
-17.65,14.24,bp01,29,,27
-17.8,14.64,bp01,30,,28
-18.36,14.84,bp01,31,,29
-17.11,12.45,bp14,882,,2
-16.75,12.94,bp14,883,4,3
-17.6,12.76,bp14,883,4,3
-16.74,12.81,bp14,884,,4
-16.76,13.28,bp14,885,,5
-16.79,13.5,bp14,886,,6
-16.67,13.93,bp14,887,,7
-16.5,14.11,bp14,888,,8
-16.47,13.95,bp14,889,,9
-16.48,13.82,bp14,890,,10
-16.35,13.73,bp14,891,,11
-16.53,13.93,bp14,892,,12
-16.45,13.86,bp14,893,,13
-16.58,13.83,bp14,894,,14
-16.76,14.06,bp14,895,,15
-16.92,14.06,bp14,896,,16
-16.94,14.02,bp14,897,,17
-17.05,14.23,bp14,898,5,18
-17.15,14.16,bp14,898,5,18
-17.34,14.02,bp14,899,,19
-17.14,13.81,bp14,900,,20
-17.01,13.83,bp14,901,,21
-16.97,13.94,bp14,902,,22
-16.97,13.79,bp14,903,,23
-16.84,13.77,bp14,904,,24
-16.74,13.73,bp14,905,,25
-16.53,13.81,bp14,906,,26
-16.45,13.71,bp14,907,,27
-16.4,13.42,bp14,908,,28
-16.56,12.59,bp14,909,,29
-16.4,12.94,bp14,910,,30
-16.49,12.88,bp14,911,,31
-16.59,12.8,bp14,912,,32
-16.87,13.52,bp14,913,,33
-17.04,13.4,bp14,914,,34
-17.28,13.92,bp14,915,6,35
-17.41,13.91,bp14,915,6,35
-18.81,11.47,bp04,223,7,0
-18.69,11.52,bp04,223,7,0
-18.6,10.91,bp04,225,,1
-18.92,13.14,bp04,227,,2
-18.84,13.22,bp04,228,,3
-18.73,13.52,bp04,229,,4
-18.77,13.55,bp04,230,,5
-18.73,13.75,bp04,231,,6
-18.64,13.6,bp04,232,,7
-18.8,13.74,bp04,233,,8
-18.79,13.57,bp04,234,,9
-18.5,13.3,bp04,235,,10
-18.09,12.99,bp04,236,,11
-18.26,13.02,bp04,237,,12
-18.26,12.44,bp04,238,,13
-18.21,11.93,bp04,239,,14
-17.86,11.99,bp04,240,,15
-17.92,11.7,bp04,241,,16
-17.92,11.57,bp04,242,,17
-18.09,11.93,bp04,243,,18
-17.97,12.01,bp04,244,,19
-18.03,12.25,bp04,245,8,20
